case,phi1_deg,delta_ln_density,response_phi2_deg,response_distance_kpc,response_pm1_masyr,response_pm2_masyr,response_phi2_width_deg,response_distance_width_kpc,response_pm1_width_masyr,response_pm2_width_masyr,sigma_phi2_deg,sigma_distance_kpc,sigma_pm1_masyr,sigma_pm2_masyr,z_phi2,z_distance,z_pm1,z_pm2,n_control,n_perturbed,n_control_phi2,n_perturbed_phi2
G2,-55.0,0.07004959444162137,-0.05466068260490814,-0.02717509137663754,-0.06559028876012718,-0.0087285743130332,-0.004747985536014909,-0.00081359248046909,-0.0003484661319373278,0.00016929297272683455,0.006382961707959547,0.00126467682205368,0.002741602424951279,0.0006715092197439049,-8.563529769690819,-21.487775297809698,-23.924070158091133,-12.99844299436728,4603,4937,4603,4937
G2,-53.0,0.05753677177106082,-0.044585805061033545,-0.02430066529763142,-0.05534233189245796,-0.008228222633415605,0.0006264187387345077,-0.0021305833344142586,-0.005678007675094604,0.00020332297825630466,0.005570727927285509,0.0009884489635240286,0.0023713718444534197,0.0006636265661462176,-8.00358689977509,-24.584643410413857,-23.337686167566808,-12.398874688212333,5285,5598,5285,5598
G2,-51.0,0.0031844491839657495,-0.048217072813834805,-0.02321207089374777,-0.0509689679519294,-0.008352065368813832,0.001988463307408872,-0.00013887748239740927,0.0008538837118244047,-0.0004719015146055043,0.005480325851305354,0.0009438016389806075,0.002050591557343384,0.0006696191102231557,-8.798212756336381,-24.594226090578672,-24.855738710814528,-12.472859930820139,5957,5976,5957,5976
G2,-49.0,0.03745270348382449,-0.05007390604625078,-0.026018712015104306,-0.05711311299857691,-0.009865099131473265,0.0053164273809277185,0.0021922291633632296,0.006522647865704001,0.0007227798036498756,0.005046174730668107,0.0009302395109402752,0.0022210041890997883,0.0006116306983447279,-9.923141531728344,-27.969906361862545,-25.714995621744347,-16.129175919670875,6053,6284,6053,6284
G2,-47.0,0.04226190582263676,-0.0715551897184582,-0.029342035773230357,-0.0656493809290204,-0.010190242113315318,0.00976517592435816,-0.0019685742581819765,-0.0028239826485788877,-0.0012178064364747158,0.005648959548323167,0.0009482214597773646,0.002043445736499788,0.0005805698863986684,-12.666967979917398,-30.944285715828084,-32.12680413108058,-17.552136878001686,6579,6863,6579,6863
G2,-45.0,0.0010178117927006245,-0.07311502729911054,-0.025950222645129806,-0.057771190202076994,-0.00999595177442103,0.008608641917667637,-0.0019364073800132234,-0.006044378767118275,3.2370059710705446e-06,0.00622623583714264,0.0008129084908722934,0.0019238009250851004,0.0005052183953385702,-11.743054585716541,-31.922686177485804,-30.029713287263053,-19.78540739341504,6874,6881,6874,6881
G2,-43.0,-0.08123244569183685,-0.07561472040052195,-0.028003871237649136,-0.06256037250502544,-0.011560504623092438,0.0024548130712438443,0.001882484375812822,0.005825360253223513,0.0002567720926324561,0.006312236929377353,0.0008533244795618811,0.0021633636225336125,0.0006100074769034533,-11.979068790749697,-32.81737710375665,-28.91810320437864,-18.951414631467106,6588,6074,6588,6074
G2,-41.0,-0.09791197145899995,-0.09533276654302261,-0.03518792007236993,-0.07594702383375918,-0.016701035199425895,0.0024968322997909187,0.000962254208810194,0.0027028950058762963,0.0008592155899300388,0.007863600183953918,0.0013430816045232245,0.0028547715287441816,0.0006740915449085654,-12.123297766022494,-26.199390978079215,-26.60353834591043,-24.775618868934554,5157,4676,5157,4676
G2,-39.0,-0.03451274595261602,-0.04394175233593839,-0.015801663752408324,-0.031007663590246537,-0.011832122812966972,-0.015000016478044748,-0.007265847844821302,-0.018684729274826145,-0.0021905493387579904,0.005070881235483976,0.0010356341438999982,0.0019111474643685013,0.0006870693505474172,-8.66550611133461,-15.257959430443563,-16.22463162490309,-17.221147768474637,6603,6379,6603,6379
G2,-37.0,-0.5436875848503143,-0.021031876257063514,-0.018961970940039485,-0.04271791440727668,-0.012347992289318821,-0.015038341176767639,0.0013115740529604653,0.0021077795522852077,0.001740250284011223,0.0042882676112242415,0.0009359183278350473,0.0021845842021206065,0.0006306082287489646,-4.904515800742949,-20.26028380478673,-19.554254015848784,-19.581083351569088,10012,5813,10012,5813
