case,phi1_center_deg,phi1_lo_deg,phi1_hi_deg,n_total,phi2_deg_median,phi2_deg_width,phi2_deg_nvalid,distance_kpc_median,distance_kpc_width,distance_kpc_nvalid,pm1_masyr_median,pm1_masyr_width,pm1_masyr_nvalid,pm2_masyr_median,pm2_masyr_width,pm2_masyr_nvalid,rv_kms_median,rv_kms_width,rv_kms_nvalid
G2,-11.0,-12.0,-10.0,7246,-0.5205033476486316,0.19099616254915228,7246,8.868323821726555,0.06863122833830061,7246,-10.112689389307663,0.11890168251513454,7246,-2.310941934044675,0.02989558265841642,7246,-199.3708841440187,3.942698497686251,7246
G2,-9.0,-10.0,-8.0,5230,-0.6858448290802546,0.2062570616051665,5230,9.029373212891034,0.07086493803586187,5230,-9.804743849580012,0.117784672701514,5230,-2.252450143039761,0.02963606160735495,5230,-209.7615478925972,3.7499692321950886,5230
G2,-7.0,-8.0,-6.0,3451,-0.8749755921897842,0.21760561170643014,3451,9.197828897133698,0.07593171330538946,3451,-9.49007751072412,0.12148236843699449,3451,-2.196133485668759,0.02833166889985566,3451,-220.3062015082418,3.6626429568857164,3451
G2,-5.0,-6.0,-4.0,2302,-1.0699824347449356,0.21083506475339514,2302,9.372349511101723,0.07594835647195093,2302,-9.181755386827351,0.12081814331072654,2302,-2.1402866717715057,0.026384031346994585,2302,-230.08633165857174,3.435635860896453,2302
G2,-3.0,-4.0,-2.0,1354,-1.2879868440545548,0.20129664556616067,1354,9.56710715646371,0.08038874188731535,1354,-8.855356898381517,0.12129849904574831,1354,-2.0840553082976245,0.0252262764767359,1354,-239.8514421403882,3.2760262966658753,1354
G2,-1.0,-2.0,0.0,751,-1.5111644734532481,0.17090565679645173,751,9.76970276111163,0.08060744259481127,751,-8.532088068347731,0.11977811989428204,751,-2.0304283663461318,0.02184663614849338,751,-249.3577528241479,3.2039531314011356,751
G3,-59.0,-60.0,-58.0,3000,-0.6412339680760597,0.24723401020001998,3000,6.977658233362996,0.04281034296055541,3000,-13.61639809992499,0.10689369281166926,3000,-3.766087727784667,0.029446467767751065,3000,104.25823720977188,4.766665350036943,3000
G3,-57.0,-58.0,-56.0,4049,-0.580014121026561,0.2558351768029498,4049,6.964188346448647,0.045709537826249515,4049,-13.752274466778363,0.11621701740788094,4049,-3.7452352903523622,0.02961643298189429,4049,91.42247260726603,4.699622623185403,4049
G3,-55.0,-56.0,-54.0,4938,-0.5202931054166642,0.24535241698440044,4938,6.9611548585336935,0.04418658189451141,4938,-13.856173243847115,0.11059028034178513,4938,-3.7186935800943517,0.02769372274839739,4938,78.49287055982187,4.912419971183642,4938
G3,-53.0,-54.0,-52.0,5598,-0.4525153976827989,0.24391805237998873,5598,6.968216152303258,0.03878819189495762,5598,-13.925297742005514,0.09363164291651833,5598,-3.6869686292175166,0.02760836528390387,5598,65.24944389929863,4.833856750306414,5598
G3,-51.0,-52.0,-50.0,5976,-0.38419456784138484,0.24171706421403447,5976,6.986473382148041,0.03828532247214839,5976,-13.956877784412073,0.09119520234108831,5976,-3.649493282558792,0.02670346931813109,5976,52.3318519878075,4.830351510973729,5976
G3,-49.0,-50.0,-48.0,6289,-0.32028604622330975,0.24375661382443475,6289,7.006405732362584,0.04142991999024266,6289,-13.972031538559305,0.10005598933642787,6289,-3.6105466089461546,0.027848525811511874,6289,38.72218600361607,4.882955667357905,6289
G3,-47.0,-48.0,-46.0,6860,-0.3056798532022411,0.2617984947016782,6860,7.0255048621731415,0.0431114630701386,6860,-13.980283720965314,0.1049565163807698,6860,-3.567520480505446,0.027261889852829322,6860,25.523221778324597,5.0442923014496674,6860
G3,-45.0,-46.0,-44.0,6875,-0.2874047495327071,0.27241513870197837,6875,7.054202799497123,0.03758357465435016,6875,-13.957560292249418,0.08560039018771924,6875,-3.5207692482499033,0.026041781760825288,6875,12.22666354469686,4.8973266309446215,6875
G3,-43.0,-44.0,-42.0,6074,-0.28566171289644077,0.2807050605452681,6074,7.092994339248303,0.04054332871834095,6074,-13.901224836214272,0.09079892688273616,6074,-3.46931492532193,0.026266080870796533,6074,-0.6309322216968176,4.749262222156441,6074
G3,-41.0,-42.0,-40.0,4684,-0.31957941320750416,0.27439283480617366,4684,7.121462970737164,0.04682011351549202,4684,-13.859655037722527,0.1063454680237838,4684,-3.4238673375635056,0.02864478263258317,4684,-14.137488401079963,5.299351229423371,4684
G3,-39.0,-40.0,-38.0,6373,-0.2806595025170233,0.21019360223132058,6373,7.1854354942772805,0.03887348559710412,6373,-13.722027449823683,0.09104239666510572,6373,-3.364971583284538,0.03094142618356738,6373,-28.55646414056379,4.724591105415555,6373
G3,-37.0,-38.0,-36.0,5788,-0.21145408868169685,0.19154057219550563,5788,7.250473403785863,0.038893842015808804,5788,-13.582485133851552,0.08511271362649254,5788,-3.3013641342714006,0.030613062017658958,5788,-39.47084475273181,4.281738208738268,5788
G3,-35.0,-36.0,-34.0,4218,-0.21811586229985494,0.20155095004584528,4218,7.329325170903962,0.04361519113905751,4218,-13.40519301647241,0.09218320400021546,4218,-3.2253907007211478,0.028877632076391768,4218,-54.427728898269294,4.666809452632773,4218
G3,-33.0,-34.0,-32.0,5003,-0.24806340248360512,0.20797782722001232,5003,7.386239261308792,0.04493267991442979,5003,-13.267721566820033,0.09809740969330423,5003,-3.172376427236814,0.03217425462528664,5003,-67.32111547435386,5.050711537977112,5003
