case,phi1_deg,response_phi2_deg,valid_phi2_deg,response_distance_kpc,valid_distance_kpc,response_pm1_masyr,valid_pm1_masyr,response_pm2_masyr,valid_pm2_masyr
G2,-53.0,0.02142280129069213,True,-0.012438591229719798,True,-0.028623985787302075,True,0.0009611395365412001,True
G2,-51.0,0.015454901224591922,True,-0.01260063369587705,True,-0.02801693658611093,True,0.000948810915936793,True
G2,-49.0,0.012094751364238321,True,-0.013647512719711763,True,-0.030200137122440296,True,0.00035557429430399523,True
G2,-47.0,-0.005577173837074373,True,-0.016193690538811367,True,-0.03667725048796022,True,0.00022998428058995657,True
G2,-45.0,-0.00952037040099546,True,-0.015152373204694314,True,-0.034055739524117,True,-0.00029056793546278215,True
G2,-43.0,-0.016493461203289567,True,-0.016419205164712736,True,-0.03658285430079644,True,-0.0011073379742936318,True
G2,-41.0,-0.03341651666292464,True,-0.021840675672415877,True,-0.04835077997803516,True,-0.004721781022597238,True
G2,-39.0,-0.027811961324934964,True,-0.010232021137339231,True,-0.020938974612956684,True,-0.005447828539118849,True
G2,-37.0,-0.018101192741470484,True,-0.008179728313057133,True,-0.0183476206954154,True,-0.002829447653490469,True
G2,-35.0,-0.022379237278469494,True,-0.0011162844082885925,True,0.00014039323276371363,True,0.0021500123224189593,True
G2,-33.0,-0.0023502347094170872,True,0.00481075759243943,True,0.01223624248017785,True,0.0019133119765259998,True
G2,-31.0,0.05249502986413615,True,0.019705141571717988,True,0.045393163126115965,True,0.015746398867230393,True
G2,-29.0,-0.004032623473136654,True,0.0008433024552827462,True,0.003929169272922195,True,0.0005774593028844421,True
G2,-27.0,-0.02722826685555968,True,-0.006531836875189434,True,-0.009338669038656988,True,-0.0036854115228459605,True
G2,-25.0,-0.03483228568000091,True,-0.010970387198912412,True,-0.020616172861485538,True,-0.005365964802972023,True
G2,-23.0,-0.0005624930041386866,True,-0.0012927957893076325,True,-0.0033574573136121444,True,-0.0006838921430478706,True
G2,-21.0,0.034577076498024994,True,0.01024398181363928,True,0.01459540565773132,True,0.006357239019130656,True
G2,-19.0,0.03920069066854011,True,0.014495676518992084,True,0.022719079499072592,True,0.014354548465622674,True
G2,-17.0,0.03419187532016077,True,0.009379173402749075,True,0.012623260935239244,True,0.013968702767882313,True
G2,-15.0,0.017666052510945773,True,0.0036109174035612313,True,0.003225896260435235,True,0.010471841162051021,True
G2,-13.0,0.002623803750332665,True,-0.0008700098467055994,True,-0.001985337531312581,True,0.00774556958801309,True
G2,-11.0,-0.0029192548987626576,True,-0.0023745823729193205,True,-0.0035636778020098347,True,0.006771546523546945,True
G2,-9.0,-0.007457638435657166,True,-0.0028481937911628563,True,-0.0037972421517959987,True,0.006137416618623881,True
G2,-7.0,-0.012788853429055336,True,-0.003980628441762946,True,-0.004699505431066342,True,0.005392428508282254,True
G2,-5.0,-0.01578193163275987,True,-0.0043470863619745614,True,-0.00423297805787648,True,0.004610445987480727,True
G2,-3.0,-0.01997587597346584,True,-0.005738085768250301,True,-0.00619873286481365,True,0.003742121754930494,True
G2,-1.0,-0.02101265971289923,True,-0.005718813408737589,True,-0.005930549997430035,True,0.0032531120077372577,True
G2,1.0,-0.023033378274226246,False,-0.006452815031032344,False,-0.005598341666692264,False,0.002768676227332678,False
G2,3.0,-0.02790399762464335,False,-0.0068227762565680194,False,-0.002021167793173184,False,0.0025141531785406457,False
